case_id,reported_at,missing_person_name,gender,age_band,state,district,language,last_seen_location,reporting_center,reporter_mobile,physical_description,status,resolution_hours,is_duplicate_report,remarks
KMP-2027-00080,2027-09-02 10:39,Shanta Yadav,Female,41-60,Maharashtra,Jalgaon,Marathi,Goda Ghat,Ramkund LF Center,+91 8858380868,,Transferred to hospital,6,True,Logged at second center; same person suspected.
KMP-2027-01264,2027-08-09 18:02,Parvati Shinde,Female,61-70,Karnataka,Hubballi,Kannada,Gangapur Road Ghat,Tapovan Center,,"orange saree, silver anklets",Reunited,3.9,False,
KMP-2027-01588,2027-07-28 04:54,Meena Das,Female,71-80,Maharashtra,Aurangabad,Marathi,Dudhsagar Falls Road,Panchavati Center,+91 9475935461,"black shawl, limps on right leg",Reunited,3.1,False,Volunteer escorting to help desk.
KMP-2027-00197,2027-08-19 14:56,,Female,71-80,Maharashtra,Solapur,Marathi,Kushavarta Kund,Trimbak Gate Center,,"black shawl, short grey hair",Reunited,,True,Possible match flagged for review.
KMP-2027-00855,2027-08-30 00:59,Sunita Chavan,Female,41-60,Maharashtra,Thane,Marathi,Trimbakeshwar Temple,CBS Help Center,+91 7066763035,"red sari with gold border, walks with a cane",Reunited,0.8,False,Phone switched off.
KMP-2027-00864,2027-07-27 11:31,,Male,41-60,Karnataka,Bengaluru,Kannada,Saptashrungi Base,Sadhugram Center,+91 9854112538,,Reunited,3,False,Phone switched off.
KMP-2027-01626,2027-08-24 06:59,Mangala Sawant,Female,0-12,Maharashtra,Thane,Marathi,Trimbakeshwar Temple,Sadhugram Center,+91 7042052814,"green saree, wears thick glasses",Reunited,2.6,False,"Family frantic, last dip together."
KMP-2027-00856,2027-08-28 06:34,Sneha Kumar,Female,0-12,Maharashtra,Nagpur,Marathi,Kalaram Temple,Kushavarta Center,+91 7061228465,"black shawl, tulsi mala around neck",Reunited,3.3,False,Cross-checked at adjacent center.
KMP-2027-00160,2027-08-19 05:56,Anil Kumar,Male,61-70,Madhya Pradesh,Ujjain,Hindi,Panchavati,Panchavati Center,+91 8863153414,,Reunited,2,True,Logged at second center; same person suspected.
KMP-2027-00126,2027-09-12 04:12,Shanta Sharmaa,Female,61-70,Karnataka,Bengaluru,Kannada,Trimbakeshwar Temple,Kushavarta Center,+91 7388465167,,Reunited,1.4,True,Logged at second center; same person suspected.
KMP-2027-01369,2027-09-10 03:57,Dattatray Shinde,Male,61-70,Maharashtra,Nashik,Marathi,Ramkund,Nashik Road Center,+91 9924505928,"black shawl, carries a cloth bag",Reunited,2.7,False,"Family frantic, last dip together."
KMP-2027-01088,2027-07-27 08:34,Eknath Shinde,Unknown,80+,Gujarat,Surat,Gujarati,Tapovan,CBS Help Center,+91 9967877099,"maroon saree, silver anklets",Reunited,8.9,False,
KMP-2027-02146,2027-08-24 23:04,Kamla Gaikwad,Female,80+,Maharashtra,Jalgaon,Marathi,Saptashrungi Base,Tapovan Center,+91 9844312626,"maroon saree, silver anklets",Reunited,7.4,False,"Family frantic, last dip together."
KMP-2027-01980,2027-08-29 07:30,Parvati Yadav,Female,13-17,Maharashtra,Aurangabad,Marathi,Sadhugram,CBS Help Center,+91 9041822317,"cream kurta, tulsi mala around neck",Reunited,2.4,False,Cross-checked at adjacent center.
KMP-2027-00982,2027-08-23 11:27,Kavita Bhosale,Female,13-17,Maharashtra,Nashik,Marathi,Panchavati,Ramkund LF Center,,,Reunited,9.3,False,Got separated in snan crowd.
KMP-2027-01437,2027-09-11 15:14,Mahesh Patil,Male,61-70,Maharashtra,Nagpur,Marathi,Goda Ghat,Kushavarta Center,+91 7326434387,"green saree, has a tilak on forehead",Reunited,7.3,False,Announced on PA system.
KMP-2027-02208,2027-09-02 11:54,Rohan Iyer,Male,0-12,Madhya Pradesh,Bhopal,Hindi,Gangapur Road Ghat,Panchavati Center,+91 9015168597,"white dhoti and kurta, has a tilak on forehead",Pending,,False,"Family frantic, last dip together."
KMP-2027-00738,2027-09-01 18:14,Prakash Shinde,Male,61-70,Maharashtra,Nashik,Marathi,Dudhsagar Falls Road,Sadhugram Center,+91 9955547646,,Reunited,1.1,False,Cross-checked at adjacent center.
KMP-2027-00501,2027-07-15 22:01,Lakshmi Bhosale,Female,61-70,Maharashtra,Solapur,Marathi,Kalaram Temple,Kushavarta Center,+91 7326598993,"cream kurta, carries a cloth bag",Reunited,0.8,False,Got separated in snan crowd.
KMP-2027-00494,2027-08-21 22:28,Gita Sawant,Female,0-12,Uttar Pradesh,Varanasi,Hindi,Sadhugram,Ramkund LF Center,+91 7023991091,"cream kurta, short grey hair",Transferred to hospital,6.5,False,Got separated in snan crowd.
KMP-2027-01553,2027-07-26 08:42,,Male,71-80,Tamil Nadu,Chennai,Tamil,Gangapur Road Ghat,Trimbak Gate Center,+91 9895063082,"black shawl, has a tilak on forehead",Reunited,3.4,False,Volunteer escorting to help desk.
KMP-2027-01638,2027-09-02 09:23,,Unknown,61-70,Maharashtra,Ahmednagar,Marathi,Saptashrungi Base,Trimbak Gate Center,+91 9457661019,"white dhoti and kurta, hard of hearing",Reunited,5.9,False,"Came by group bus, lost the group."
KMP-2027-02165,2027-07-18 14:14,Vimal Kulkarni,Female,61-70,Madhya Pradesh,Bhopal,Hindi,Tapovan,Kushavarta Center,+91 9816798396,"red sari with gold border, hard of hearing",Reunited,4.7,False,Cross-checked at adjacent center.
KMP-2027-01810,2027-08-19 12:48,Sneha Joshi,Female,61-70,Maharashtra,Nashik,Marathi,Tapovan,Trimbak Gate Center,+91 9963611022,"blue checked shirt, silver anklets",Reunited,6.6,False,Cross-checked at adjacent center.
KMP-2027-00823,2027-08-04 13:36,Indira Gaikwad,Female,41-60,Maharashtra,Nashik,Marathi,Gangapur Road Ghat,Tapovan Center,+91 7388206947,"green saree, hard of hearing",Reunited,0.8,False,Phone switched off.
KMP-2027-01504,2027-08-19 09:57,,Male,61-70,Rajasthan,Jodhpur,Hindi,Sita Gufa,Ramkund LF Center,+91 9420637179,"white dhoti and kurta, speaks little Hindi",Reunited,2.4,False,Phone switched off.
KMP-2027-00829,2027-08-04 09:56,Lakshmi Patil,Female,41-60,Maharashtra,Thane,Marathi,Sadhugram,Panchavati Center,,"blue checked shirt, speaks little Hindi",Reunited,9.2,False,Phone switched off.
KMP-2027-01328,2027-08-23 12:36,Parvati Joshi,Female,18-40,Madhya Pradesh,Ujjain,Hindi,Trimbakeshwar Temple,Nashik Road Center,+91 9932763618,"green saree, limps on right leg",Reunited,4.2,False,Volunteer escorting to help desk.
KMP-2027-02434,2027-09-11 23:47,Namdev Sawant,Male,61-70,Gujarat,Surat,Gujarati,Dudhsagar Falls Road,Trimbak Gate Center,+91 7333695500,,Reunited,9.1,False,Cross-checked at adjacent center.
KMP-2027-00819,2027-08-04 13:32,,Female,61-70,Maharashtra,Jalgaon,Marathi,Goda Ghat,Kushavarta Center,+91 9445857043,"grey sweater, limps on right leg",Reunited,3.9,False,Announced on PA system.
KMP-2027-01482,2027-08-19 06:42,Anil Bhosale,Male,61-70,Maharashtra,Thane,Marathi,Kalaram Temple,Sadhugram Center,+91 9432653671,"cream kurta, speaks little Hindi",Reunited,0.4,False,"Came by group bus, lost the group."
KMP-2027-01510,2027-07-24 16:24,Kamla Pawar,Female,41-60,Maharashtra,Ahmednagar,Marathi,Goda Ghat,Ramkund LF Center,+91 7092846095,,Reunited,1.1,False,Announced on PA system.
KMP-2027-00139,2027-08-21 17:02,,Male,61-70,Gujarat,Surat,Gujarati,Nashik Road Railway Station,Tapovan Center,+91 9854113356,,Pending,,True,Possible match flagged for review.
KMP-2027-01072,2027-08-04 14:39,Savita Jadhav,Female,71-80,Karnataka,Belagavi,Kannada,Goda Ghat,Kushavarta Center,+91 7026200916,,Reunited,3.1,False,Got separated in snan crowd.
KMP-2027-01145,2027-08-19 09:26,Savita Das,Female,61-70,Maharashtra,Nagpur,Marathi,Trimbakeshwar Temple,Sadhugram Center,+91 9063514754,"white dhoti and kurta, tulsi mala around neck",Reunited,6.3,False,Cross-checked at adjacent center.
KMP-2027-02017,2027-08-19 10:57,Mahesh Joshi,Male,41-60,Uttar Pradesh,Varanasi,Hindi,Saptashrungi Base,Trimbak Gate Center,,,Reunited,7.4,False,Got separated in snan crowd.
KMP-2027-00710,2027-08-04 09:23,Mahesh Kumar,Male,18-40,Maharashtra,Nagpur,Marathi,Kalaram Temple,Sadhugram Center,+91 8825454151,"cream kurta, speaks little Hindi",Reunited,1,False,Phone switched off.
KMP-2027-01952,2027-08-10 05:05,Mohan Sharma,Male,71-80,Maharashtra,Pune,Marathi,Saptashrungi Base,Trimbak Gate Center,+91 9021283353,"blue checked shirt, walks with a cane",Reunited,6.5,False,"Came by group bus, lost the group."
KMP-2027-00778,2027-08-10 06:30,Prakash Iyer,Unknown,18-40,Rajasthan,Udaipur,Hindi,Sadhugram,Ramkund LF Center,+91 9444942367,"maroon saree, speaks little Hindi",Reunited,7,False,Phone switched off.
KMP-2027-00116,2027-09-14 07:05,Rukmini Kale,Female,41-60,Maharashtra,Ahmednagar,Marathi,Dudhsagar Falls Road,CBS Help Center,,,Reunited,1.2,True,Logged at second center; same person suspected.
KMP-2027-00409,2027-08-05 12:01,Sopan Shinde,Male,80+,Maharashtra,Nashik,Marathi,Sadhugram,Panchavati Center,+91 7334208779,"white dhoti and kurta, carries a cloth bag",Reunited,1.6,False,Possible match flagged for review.
KMP-2027-00997,2027-09-11 12:20,Indira Das,Unknown,71-80,Karnataka,Belagavi,Kannada,Sadhugram,Tapovan Center,+91 8886651090,"orange saree, hard of hearing",Reunited,7.1,False,Got separated in snan crowd.
KMP-2027-01872,2027-08-08 19:32,Indira Joshi,Female,41-60,Maharashtra,Nashik,Marathi,Mukti Dham,CBS Help Center,+91 9993115842,"cream kurta, walks with a cane",Reunited,2.7,False,"Family frantic, last dip together."
KMP-2027-02056,2027-09-09 12:17,Rohan Gaikwad,Male,0-12,Maharashtra,Nagpur,Marathi,Kalaram Temple,Ramkund LF Center,+91 9459249051,"orange saree, limps on right leg",Reunited,8.3,False,Phone switched off.
KMP-2027-01788,2027-09-02 12:52,Tukaram Patil,Male,61-70,Maharashtra,Thane,Marathi,Trimbakeshwar Temple,Kushavarta Center,+91 9857812573,"white dhoti and kurta, wears thick glasses",Reunited,8.1,False,
KMP-2027-02220,2027-09-11 10:33,Shanta Patil,Female,41-60,Madhya Pradesh,Ujjain,Hindi,Mukti Dham,Trimbak Gate Center,,"maroon saree, silver anklets",Pending,,False,Announced on PA system.
KMP-2027-02495,2027-09-02 12:16,Sunil Shinde,Male,71-80,Maharashtra,Nagpur,Marathi,Dudhsagar Falls Road,Kushavarta Center,+91 9099592382,"green saree, tulsi mala around neck",Reunited,7.6,False,"Family frantic, last dip together."
KMP-2027-01770,2027-08-21 13:22,Anil Kulkarni,Male,61-70,Karnataka,Bengaluru,Kannada,Kalaram Temple,Tapovan Center,+91 9820731873,"grey sweater, tulsi mala around neck",Reunited,3,False,Cross-checked at adjacent center.
KMP-2027-01488,2027-08-04 14:22,Dattatray Bhosale,Male,71-80,Madhya Pradesh,Indore,Hindi,Panchavati,Tapovan Center,+91 7051846182,,Pending,,False,Phone switched off.
KMP-2027-02498,2027-08-23 18:58,,Female,61-70,Maharashtra,Thane,Marathi,Kushavarta Kund,Ramkund LF Center,+91 9482994036,"white dhoti and kurta, short grey hair",Reunited,0.7,False,Phone switched off.
KMP-2027-01786,2027-07-23 21:49,Asha Shinde,Female,0-12,Gujarat,Surat,Gujarati,Panchavati,Sadhugram Center,,"orange saree, wears thick glasses",Reunited,5.1,False,Got separated in snan crowd.
KMP-2027-00418,2027-09-02 14:52,,Female,80+,Maharashtra,Thane,Marathi,Sadhugram,Tapovan Center,+91 8841315063,"cream kurta, has a tilak on forehead",Unresolved,,False,Possible match flagged for review.
KMP-2027-01348,2027-08-04 09:38,Indira Sharma,Female,71-80,Maharashtra,Ahmednagar,Marathi,Mukti Dham,Trimbak Gate Center,+91 9938290965,"orange saree, has a tilak on forehead",Reunited,3.2,False,Got separated in snan crowd.
KMP-2027-02297,2027-09-11 04:27,Ramesh Bhosale,Male,80+,Maharashtra,Pune,Marathi,Nashik Road Railway Station,Sadhugram Center,,"white dhoti and kurta, wears thick glasses",Reunited,1.7,False,Volunteer escorting to help desk.
KMP-2027-02184,2027-08-20 02:48,Gita Sharma,Female,71-80,Gujarat,Ahmedabad,Gujarati,Kushavarta Kund,Ramkund LF Center,+91 7355336265,"cream kurta, has a tilak on forehead",Reunited,4.6,False,"Came by group bus, lost the group."
KMP-2027-00749,2027-09-01 16:18,Ganpat Shinde,Male,18-40,Uttar Pradesh,Varanasi,Hindi,Sita Gufa,CBS Help Center,+91 9080813441,"orange saree, tulsi mala around neck",Reunited,0.8,False,Volunteer escorting to help desk.
KMP-2027-02276,2027-08-19 09:44,Prakash Patil,Male,41-60,Maharashtra,Pune,Marathi,Panchavati,CBS Help Center,,"maroon saree, walks with a cane",Reunited,2.6,False,"Came by group bus, lost the group."
KMP-2027-00496,2027-08-19 05:47,,Female,18-40,Madhya Pradesh,Bhopal,Hindi,Tapovan,Tapovan Center,+91 9013513000,"cream kurta, wears thick glasses",Reunited,6.8,False,"Came by group bus, lost the group."
KMP-2027-00668,2027-07-18 02:00,Dattatray More,Male,61-70,Maharashtra,Nagpur,Marathi,Sadhugram,Panchavati Center,+91 9452395117,"white dhoti and kurta, short grey hair",Reunited,5.3,False,Volunteer escorting to help desk.
KMP-2027-01928,2027-07-17 06:47,Sarla Bhosale,Female,61-70,Maharashtra,Jalgaon,Marathi,Mukti Dham,Nashik Road Center,+91 7353560388,"maroon saree, speaks little Hindi",Reunited,2.2,False,Cross-checked at adjacent center.
KMP-2027-01385,2027-08-19 14:44,,Female,61-70,Gujarat,Rajkot,Gujarati,Trimbakeshwar Temple,Ramkund LF Center,+91 7075746694,,Pending,,False,Possible match flagged for review.
KMP-2027-02183,2027-09-12 09:13,Kamla Kumar,Female,61-70,Maharashtra,Thane,Marathi,Goda Ghat,Sadhugram Center,+91 9978567548,"grey sweater, tulsi mala around neck",Reunited,8.7,False,Cross-checked at adjacent center.
KMP-2027-01518,2027-08-04 04:06,Aarav Sharma,Male,61-70,Maharashtra,Ahmednagar,Marathi,Goda Ghat,Kushavarta Center,+91 9472792175,"maroon saree, silver anklets",Reunited,1.2,False,Cross-checked at adjacent center.
KMP-2027-01407,2027-07-31 00:31,Parvati Pawar,Female,61-70,Maharashtra,Thane,Marathi,Gangapur Road Ghat,Kushavarta Center,+91 9978929643,"blue checked shirt, carries a cloth bag",Reunited,6.2,False,Got separated in snan crowd.
KMP-2027-00112,2027-09-02 06:30,,Male,61-70,Maharashtra,Ahmednagar,Marathi,Ramkund,Tapovan Center,,,Transferred to hospital,2.7,True,Logged at second center; same person suspected.
KMP-2027-01106,2027-08-19 05:11,Anil Yadav,Male,61-70,Rajasthan,Jaipur,Hindi,Nashik Road Railway Station,Tapovan Center,+91 9850252666,"orange saree, short grey hair",Reunited,9.1,False,"Came by group bus, lost the group."
KMP-2027-01649,2027-08-19 16:25,Namdev Jadhav,Male,71-80,Gujarat,Surat,Gujarati,Kalaram Temple,Kushavarta Center,+91 9052738315,,Unresolved,,False,Announced on PA system.
KMP-2027-00157,2027-09-02 05:29,Rukmini Sawant,Female,61-70,Karnataka,Belagavi,Kannada,Mukti Dham,Trimbak Gate Center,+91 9476910965,"white dhoti and kurta, speaks little Hindi",Reunited,,True,Possible match flagged for review.
KMP-2027-01049,2027-08-04 11:11,Sarla Deshmukh,Female,18-40,Maharashtra,Ahmednagar,Marathi,Mukti Dham,Tapovan Center,+91 7379810244,,Reunited,7.8,False,Cross-checked at adjacent center.
KMP-2027-00902,2027-08-19 06:43,Lakshmi Sharma,Unknown,61-70,Maharashtra,Jalgaon,Marathi,Sita Gufa,Kushavarta Center,+91 7315611860,"red sari with gold border, speaks little Hindi",Reunited,2.1,False,"Came by group bus, lost the group."
KMP-2027-01957,2027-08-19 17:19,Asha Sawant,Female,61-70,Karnataka,Hubballi,Kannada,Ahilyadevi Holkar Bridge,Tapovan Center,+91 9090918804,,Reunited,2,False,Possible match flagged for review.
KMP-2027-02128,2027-09-02 13:24,Mahesh Kulkarni,Male,13-17,Madhya Pradesh,Bhopal,Hindi,Saptashrungi Base,Kushavarta Center,+91 9063163022,"grey sweater, tulsi mala around neck",Pending,,False,"Came by group bus, lost the group."
KMP-2027-00812,2027-08-16 22:48,Arun Kale,Male,61-70,Maharashtra,Solapur,Marathi,Ramkund,Tapovan Center,+91 9493675505,"cream kurta, walks with a cane",Reunited,3.6,False,Possible match flagged for review.
KMP-2027-01644,2027-09-14 20:31,Sunita Sharma,Female,41-60,Maharashtra,Nagpur,Marathi,Ahilyadevi Holkar Bridge,Ramkund LF Center,+91 7315923145,"blue checked shirt, short grey hair",Reunited,6.8,False,Possible match flagged for review.
KMP-2027-00714,2027-07-18 09:16,Tukaram Reddy,Male,71-80,Gujarat,Ahmedabad,Gujarati,Kalaram Temple,Tapovan Center,+91 8858070445,"maroon saree, walks with a cane",Reunited,7.7,False,Cross-checked at adjacent center.
KMP-2027-01839,2027-08-03 15:07,,Female,13-17,Uttar Pradesh,Kanpur,Hindi,Sadhugram,Tapovan Center,,"grey sweater, speaks little Hindi",Reunited,5.2,False,Volunteer escorting to help desk.
KMP-2027-00947,2027-08-19 03:44,Mohan Verma,Male,61-70,Maharashtra,Pune,Marathi,Tapovan,Panchavati Center,+91 8835582950,"white dhoti and kurta, speaks little Hindi",Reunited,5.2,False,Cross-checked at adjacent center.
KMP-2027-01006,2027-09-11 16:04,Anjali Yadav,Female,71-80,Maharashtra,Ahmednagar,Marathi,Gangapur Road Ghat,Tapovan Center,+91 9884587015,"cream kurta, has a tilak on forehead",Reunited,9.3,False,
KMP-2027-01790,2027-09-11 14:26,Sushila More,Female,41-60,Maharashtra,Nashik,Marathi,Tapovan,Ramkund LF Center,+91 7094082985,"red sari with gold border, limps on right leg",Reunited,7.3,False,
KMP-2027-00665,2027-09-02 14:20,Asha Kumar,Female,41-60,Uttar Pradesh,Prayagraj,Hindi,Trimbakeshwar Temple,Panchavati Center,,"red sari with gold border, silver anklets",Reunited,1.9,False,Possible match flagged for review.
KMP-2027-00076,2027-08-19 17:00,,Female,18-40,Maharashtra,Nagpur,Marathi,Ramkund,Kushavarta Center,+91 9425495868,"grey sweater, speaks little Hindi",Pending,,True,Logged at second center; same person suspected.
KMP-2027-01690,2027-09-11 03:56,Rukmini Kumar,Female,61-70,Maharashtra,Solapur,Marathi,Nashik Road Railway Station,Ramkund LF Center,+91 9051077365,"cream kurta, has a tilak on forehead",Reunited,5.5,False,Got separated in snan crowd.
KMP-2027-00440,2027-09-02 04:05,Arun Kulkarni,Male,0-12,Maharashtra,Nashik,Marathi,Sadhugram,Panchavati Center,+91 7375231733,"orange saree, wears thick glasses",Reunited,4.7,False,Got separated in snan crowd.
KMP-2027-00847,2027-08-18 04:19,Sushila Kale,Female,71-80,Madhya Pradesh,Ujjain,Hindi,Panchavati,Kushavarta Center,+91 7064105205,"yellow blouse, speaks little Hindi",Reunited,2.6,False,Announced on PA system.
KMP-2027-01114,2027-08-28 22:43,Sunita Deshmukh,Female,41-60,Maharashtra,Nagpur,Marathi,Mukti Dham,Panchavati Center,+91 7351792125,,Reunited,6.9,False,Announced on PA system.
KMP-2027-01079,2027-08-19 06:45,Ganpat Joshi,Male,13-17,Uttar Pradesh,Prayagraj,Hindi,Ahilyadevi Holkar Bridge,Ramkund LF Center,+91 9045982690,"red sari with gold border, hard of hearing",Pending,,False,"Came by group bus, lost the group."
KMP-2027-00423,2027-08-31 10:21,Kamla Kale,Female,71-80,Maharashtra,Nashik,Marathi,Mukti Dham,Ramkund LF Center,+91 9936376366,"blue checked shirt, limps on right leg",Reunited,6.1,False,"Family frantic, last dip together."
KMP-2027-01394,2027-09-02 14:05,Dattatray Kale,Male,61-70,Maharashtra,Jalgaon,Marathi,Nashik Road Railway Station,Kushavarta Center,+91 9432257487,,Reunited,5.4,False,Phone switched off.
KMP-2027-01397,2027-08-14 20:48,Sunil Kumar,Male,61-70,Maharashtra,Nashik,Marathi,Panchavati,Tapovan Center,+91 9974337528,"blue checked shirt, hard of hearing",Pending,,False,Volunteer escorting to help desk.
KMP-2027-01906,2027-08-24 09:03,Sai Pawar,Male,80+,Maharashtra,Nagpur,Marathi,Kalaram Temple,Kushavarta Center,,"grey sweater, wears thick glasses",Pending,,False,Announced on PA system.
KMP-2027-00294,2027-08-30 11:35,Eknath Patil,Male,41-60,Maharashtra,Jalgaon,Marathi,Kalaram Temple,Panchavati Center,,"white dhoti and kurta, silver anklets",Reunited,2.6,False,Phone switched off.
KMP-2027-00362,2027-09-14 16:11,Sushila Shinde,Female,18-40,Maharashtra,Thane,Marathi,Dudhsagar Falls Road,Trimbak Gate Center,,"orange saree, tulsi mala around neck",Pending,,False,
KMP-2027-00311,2027-09-11 16:08,Kishan Yadav,Male,41-60,Uttar Pradesh,Varanasi,Hindi,Saptashrungi Base,Tapovan Center,+91 7352107734,"green saree, tulsi mala around neck",Reunited,7.9,False,Possible match flagged for review.
KMP-2027-01635,2027-09-06 16:26,Tukaram Verma,Male,61-70,Maharashtra,Jalgaon,Marathi,Dudhsagar Falls Road,Tapovan Center,,"orange saree, short grey hair",Pending,,False,"Came by group bus, lost the group."
KMP-2027-01129,2027-09-11 05:33,Ramesh Patil,Male,71-80,Maharashtra,Ahmednagar,Marathi,Goda Ghat,Tapovan Center,+91 7041518865,"grey sweater, short grey hair",Reunited,3.8,False,Cross-checked at adjacent center.
KMP-2027-00394,2027-08-18 01:24,Sunil Shinde,Male,71-80,Uttar Pradesh,Prayagraj,Hindi,Panchavati,Panchavati Center,+91 9853700954,"orange saree, has a tilak on forehead",Reunited,3.4,False,
KMP-2027-00941,2027-09-02 09:39,Sarla Bhosale,Female,80+,Karnataka,Belagavi,Kannada,Saptashrungi Base,Sadhugram Center,+91 7333751368,"maroon saree, wears thick glasses",Reunited,3.2,False,Cross-checked at adjacent center.
KMP-2027-01352,2027-08-04 14:44,Rohan Deshmukh,Male,61-70,Maharashtra,Aurangabad,Marathi,Saptashrungi Base,Sadhugram Center,+91 7040396785,"maroon saree, wears thick glasses",Reunited,7.3,False,"Came by group bus, lost the group."
KMP-2027-00690,2027-08-28 15:25,Parvati Chavan,Female,80+,Maharashtra,Solapur,Marathi,Sita Gufa,Ramkund LF Center,,"red sari with gold border, silver anklets",Reunited,4.9,False,Phone switched off.
KMP-2027-01531,2027-08-04 14:17,Sushila Patil,Female,71-80,Madhya Pradesh,Ujjain,Hindi,Ahilyadevi Holkar Bridge,Trimbak Gate Center,+91 7359783129,,Reunited,6.5,False,Cross-checked at adjacent center.
KMP-2027-01100,2027-09-11 10:01,Savita Pawar,Female,80+,Uttar Pradesh,Lucknow,Hindi,Ramkund,CBS Help Center,+91 9951602514,,Reunited,4.9,False,"Came by group bus, lost the group."
KMP-2027-02487,2027-08-15 03:45,Rohan Joshi,Male,18-40,Maharashtra,Thane,Marathi,Ramkund,Nashik Road Center,,,Reunited,7.6,False,"Family frantic, last dip together."
KMP-2027-02322,2027-08-26 11:05,Rukmini Gaikwad,Female,18-40,Gujarat,Ahmedabad,Gujarati,Mukti Dham,Kushavarta Center,,"white dhoti and kurta, short grey hair",Reunited,1.6,False,Phone switched off.
KMP-2027-00580,2027-07-25 13:28,Prakash Das,Male,41-60,Maharashtra,Jalgaon,Marathi,Kalaram Temple,Kushavarta Center,+91 8840573432,"blue checked shirt, silver anklets",Reunited,8.9,False,
KMP-2027-02450,2027-09-02 12:40,Sushila Joshi,Female,41-60,Maharashtra,Nashik,Marathi,Nashik Road Railway Station,Panchavati Center,+91 7033115348,,Reunited,5.7,False,Volunteer escorting to help desk.
KMP-2027-01933,2027-09-06 23:26,Sopan Bhosale,Male,71-80,Telangana,Warangal,Telugu,Goda Ghat,Trimbak Gate Center,+91 9059690592,"maroon saree, silver anklets",Reunited,3.2,False,Phone switched off.
KMP-2027-01910,2027-09-11 07:30,,Male,61-70,Tamil Nadu,Madurai,Tamil,Panchavati,Tapovan Center,+91 9896733453,,Reunited,1.5,False,Got separated in snan crowd.
KMP-2027-01291,2027-09-02 21:21,Prakash Chavan,Male,61-70,Madhya Pradesh,Ujjain,Hindi,Goda Ghat,CBS Help Center,+91 8824529936,"yellow blouse, speaks little Hindi",Reunited,6.2,False,
KMP-2027-00581,2027-09-01 23:10,Sarla Gaikwad,Female,0-12,Uttar Pradesh,Varanasi,Hindi,CBS Bus Stand,Ramkund LF Center,+91 8838514851,,Reunited,5.2,False,Announced on PA system.
KMP-2027-00589,2027-09-15 17:24,Kamla Iyer,Female,61-70,Madhya Pradesh,Bhopal,Hindi,Goda Ghat,Ramkund LF Center,+91 9093945200,"yellow blouse, walks with a cane",Reunited,5.4,False,Announced on PA system.
KMP-2027-00397,2027-08-19 10:56,Indira Reddy,Female,0-12,Maharashtra,Nashik,Marathi,Mukti Dham,Sadhugram Center,,,Reunited,8.3,False,Announced on PA system.
KMP-2027-00119,2027-09-10 14:01,,Female,41-60,Maharashtra,Pune,Marathi,Kushavarta Kund,Sadhugram Center,+91 9932794100,,Pending,,True,Possible match flagged for review.
KMP-2027-01046,2027-08-04 05:44,Meena Deshmukh,Female,18-40,Madhya Pradesh,Indore,Hindi,Tapovan,Nashik Road Center,+91 9991534361,"blue checked shirt, walks with a cane",Pending,,False,Cross-checked at adjacent center.
KMP-2027-00971,2027-08-25 23:43,Eknath Yadav,Male,18-40,Madhya Pradesh,Bhopal,Hindi,Trimbakeshwar Temple,Kushavarta Center,+91 9097286600,"yellow blouse, limps on right leg",Reunited,4.4,False,Got separated in snan crowd.
KMP-2027-02286,2027-09-05 20:15,Anil Das,Male,18-40,Gujarat,Surat,Gujarati,Nashik Road Railway Station,Ramkund LF Center,+91 7055427088,"yellow blouse, carries a cloth bag",Reunited,6.2,False,Possible match flagged for review.
KMP-2027-01603,2027-08-12 03:14,Kishan Joshi,Male,61-70,Gujarat,Rajkot,Gujarati,Panchavati,Panchavati Center,+91 8831485576,"orange saree, speaks little Hindi",Reunited,1.6,False,
KMP-2027-01340,2027-09-02 12:39,Sushila Jadhav,Unknown,13-17,Madhya Pradesh,Ujjain,Hindi,CBS Bus Stand,Trimbak Gate Center,,"red sari with gold border, silver anklets",Reunited,7.1,False,Possible match flagged for review.
KMP-2027-01053,2027-09-03 13:42,Rukmini Das,Female,61-70,Maharashtra,Aurangabad,Marathi,CBS Bus Stand,Nashik Road Center,+91 7054904647,"black shawl, short grey hair",Transferred to hospital,1.7,False,"Came by group bus, lost the group."
KMP-2027-02491,2027-08-29 14:23,Savita Patil,Female,61-70,Maharashtra,Aurangabad,Marathi,Saptashrungi Base,Panchavati Center,+91 9426835693,"black shawl, wears thick glasses",Reunited,5,False,Announced on PA system.
KMP-2027-01897,2027-09-11 06:07,Dattatray Iyer,Male,41-60,Madhya Pradesh,Indore,Hindi,Tapovan,CBS Help Center,+91 7087300926,,Reunited,2.1,False,
KMP-2027-00792,2027-08-16 18:58,Kishan Pawar,Male,80+,Gujarat,Rajkot,Gujarati,Saptashrungi Base,Ramkund LF Center,+91 9988081233,"yellow blouse, silver anklets",Reunited,2.9,False,"Family frantic, last dip together."
KMP-2027-02323,2027-09-01 14:52,Anil Sharma,Male,80+,Madhya Pradesh,Indore,Hindi,Panchavati,Panchavati Center,,"yellow blouse, walks with a cane",Reunited,8.3,False,Got separated in snan crowd.
KMP-2027-01918,2027-08-04 09:02,Sai Sawant,Male,18-40,Uttar Pradesh,Lucknow,Hindi,Gangapur Road Ghat,Tapovan Center,,"grey sweater, carries a cloth bag",Reunited,5.5,False,
